Rule,Description,Keyword,Cards,Source,Date
Battleworn,"* When you defend with a card it remains on the combat chain until the chain closes, therefore you cannot defend with an equipment multiple times on the same combat chain.
* A [-1 defense] counter stays on the card until the card is destroyed or the game ends.
* If the defense of a card that is defending is below zero, calculate as if its defense is zero.",battleworn,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Bladebreak,"* When you defend with a card it remains on the combat chain until the chain closes, therefore you cannot defend with an equipment multiple times on the same combat chain.
* When this card is destroyed, it is sent to your graveyard.
* The ability goes on the stack when the combat chain closes.",blade break,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Combo,"* The last attack does not have to have hit.
* Only the name of the last attack matters, other variables such as the pitch cost does not matter.
* You may still play the attack even if combo isn’t active.",combo,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Crush,"* Crush only checks the amount of damage dealt to the hero. Prevented damage does not 
* Crush is not optional, if the card does 4 or more damage, the effect will apply.",crush,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Dominate,"* Cards with dominate cannot be defended with more than 1 card from the defending hero’s hand.
* You can still block with equipment and defense reactions played from arsenal in addition to up to 1 card from hand.
* Playing a defense reaction from your hand counts towards the 1 card from your hand restriction. You cannot defend with a card in your hand then play a defense reaction from your hand.",dominate,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Go again,"* When an action with go again resolves, its controller gains 1 action point.
* Multiple instances of go again on the same card or activated ability do not stack. If a card or activated ability has multiple instances of go again when it resolves its controller gains 1 action point only.",go again,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Intimidate,"* The player who owns the banished card may look at it.
* The card banished from intimidate is returned to hand at the beginning of the end phase. This is before players draw up to hand size.
* You may target yourself with this ability. However you will receive the card back into your hand before drawing up to your hand size.
* You may target a hero with no cards in hand.
* If there are other banished cards that aren’t from intimidate, it is encouraged to keep intimidated cards seperate from these cards.",intimidate,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Reprise,"* Reprise cares about the current chain link not the whole combat chain. If a previous attack was defended by a card in hand, it will have no effect on reprise for the current chain link.
* Reprise is checked at the time you play the card. If a card with reprise is played then a defense reaction is played from hand, the effect will not apply retroactively.
* Equipment and cards from arsenal that defend an attack do not turn on reprise.",reprise,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Bravo,* The attack action does not gain go again. Bravo’s activated ability requires an action point to use and provides an action point from go again upon resolution.,,"WTR030,WTR039",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Dorinthea,"* This ability does not give the weapon attack go again. You are still required to have an action point to attack again.
* This ability bypasses the “Once per Turn Action - Attack” on weapons and allows an additional attack with the same weapon
* This effect is mandatory, the first weapon you hit with each turn gets this effect. It cannot be saved up for a future weapon attack that turn.",,"WTR113,WTR114",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Katsu,"* You may elect not to banish a card when searching, however you still must shuffle your deck.
* Katsu's hero card effect triggers only once per turn, the first time you hit with an attack action card. If you choose not to resolve the effect and you hit again later in the same turn, Katsu's hero card effect will not trigger again.",,"WTR076,WTR077",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Rhinar,"* This checks the discarded card’s base power. Effects that modify a card's power are not applied to a card discarded from hand.
* The player who owns the card banished face down is allowed to look at it.
* The card banished from intimidate is returned to hand at the beginning of the end phase. This is before players draw up to hand size.",,"WTR001,WTR002",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Anothos,"* Anothos checks your pitch zone constantly not just when it attacks. If the criteria is met after the attack is made, it will get the +2[attack] bonus.
* You can only pitch when there is a cost to pay. (Bravo’s hero ability can be useful for this.)",,WTR040,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Dawnblade,"* Dawnblade does not have go again nor can it attack more than once per turn. Dawnblade requires other cards to allow Dawnblade to attack more than once.
* A +1[attack] counter is a permanent effect that increases the power of Dawnblade *(until the counter is removed)*",,WTR115,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Harmonized Kodachi,"* It is possible for Harmonized Kodachi to gain go again after the attack has been declared if a card with cost 0 enters the pitch zone before the chain link resolves.
* You can only pitch when there is a cost to pay.
* You may start the game with zero, one or two Harmonized Kodachis as it is a 1-handed weapon. (We highly recommend choosing 2.)",,WTR078,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Romping Club,* This checks the discarded card’s base power. Effects that modify a card's power are not applied to a card discarded from hand.,,WTR003,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Fyendal's Spring Tunic,"* You cannot activate Fyendal’s Spring Tunic during the start of the turn phase (in response to the trigger), because players do not get priority during the start of turn phase.
* You must have at least 3 energy counters on Fyendal’s Spring Tunic to use it’s activated ability.
* Fyendal’s Spring Tunic’s activated ability is an instant. You may activate it any time you have priority, including during an opponent’s turn, and during the reaction window of either player’s turn.",,WTR150,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Goliath Gauntlet,* The attack action card does not gain go again. Goliath Gauntlet’s activated ability requires an action point to use and provides an action point from go again upon resolution.,,WTR153,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Heartened Cross Strap,"* The attack action card does not again go again. Heartened Cross Strap’s activated ability requires an action point to use and provides an action point from go again upon resolution.
* The reduction does not carry over to any additional attack actions outside of the first attack action card you play after activating Heartened Cross Strap.",,WTR152,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Hope Merchant's Hood,"* The cards must be selected and shuffled in at the same time.
* Hope Merchant’s Hood’s activated ability is an instant. You may activate it any time you have priority, including during an opponent’s turn, and during the reaction window of either player’s turn.",,WTR151,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Snapdragon Scalers,"* If this is used on an attack with go again, you will only gain 1 action point upon resolution as multiple instances of *go again* do not stack.
* Snapdragon Scaler’s activated ability is an attack reaction. You may activate it during the reaction window when you are the attacking hero.",,WTR154,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Barraging Brawnhide,* Defense reactions played from arsenal and/or hand count as defending cards.,,"WTR176,WTR177,WTR178",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Crazy Brew,"* You cannot defend with Crazy Brew as it has no defense value.
* The ability must resolve completely. There is no window to react between letting the ability resolve and seeing which effect is applied.",,WTR162,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Demolition Crew,"* You must have at least one card in your hand with cost [2 resource] or greater for the additional cost at the time you play Demolition Crew.
* You may not reveal the same Demolition Crew to itself to pay for the additional cost.
* You can not reveal a card for the additional cost, and then pitch that same card to pay the resource of Demolition Crew. Paying resource costs happens before paying additional costs.",,"WTR179,WTR180,WTR181",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Drone of Brutality,"* Anywhere includes all possible zones, such as from hand, or deck. This is not limited to being put into the graveyard from the combat chain",,"WTR164,WTR165,WTR166",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Energy Potion,"* Energy Potion requires an action point to play as it is an action.
* Energy Potion has sub-type Item, which means it stays in the arena until it is destroyed.
* You may not defend with Energy Potion as it does not have a defense value.
* You may use Energy Potion’s ability even when you are not spending any of the resources gained by it.
* Energy Potion’s activated ability is an instant. You may activate it any time you have priority, including during an opponent’s turn, and during the reaction window of either player’s turn.",,WTR170,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Enlightened Strike,"* You must have at least one other card in your hand to pay for the additional cost at the time you play Enlightened Strike.
* You choose the mode at the time you play Enlightened Strike.",,WTR159,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Flock of the Featherwalkers,"* You must have at least one other card in your hand with cost {r} or less to pay for the additional cost of Flock of the Feather Walkers.
* You may not reveal the same Flock of the Feather Walkers to itself to pay for the additional cost.
* The Quicken aura token remains in play until destroyed.
* A Quicken aura token may be represented by a small object such as a card sleeve or coin if a Quicken aura token card is not available.
* You can not reveal a card for the additional cost, and then pitch that same card to pay the resource of Flock of the Feather Walkers. Paying resource costs happens before paying additional costs.",,"WTR182,WTR183,WTR184",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Heart of Fyendal,"* The green symbol on Heart of Fyendal is life.
* You may only have 1 Heart of Fyendal in your deck including cards in your registered 80-card pool in constructed tournaments and only 1 Heart of Fyendal in your deck in limited tournaments.
* You may not defend with Heart of Fyendal as it does not have a defense value.
* Heart of Fyendal does not have a cost value. (It is not zero.)",,WTR000,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Last Ditch Effort,"* Last Ditch Effort checks how many cards are in your deck at the time you play it. If after you play it your deck’s size changes, the stats and go again applied to Last Ditch Effort would still remain.",,WTR161,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Nimble Strike,"* You must decide if you are banishing a card name Nimblism at the time you play Nimble Strike.
* Non-attack action cards go to the graveyard after they resolve, therefore you may banish a Nimblism you played this turn.",,"WTR185,WTR186,WTR187",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Nimblism,* The attack action does not gain go again. Nimblism requires an action point to use and provides an action point from go again upon resolution.,,"WTR218,WTR219,WTR220",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Potion of Strength,"* Potion of Strength requires an action point to play as it is an action.
* Potion of Strength has sub-type Item, which means it stays in the arena until it is destroyed.
* You may not defend with Potion of Strength as it does not have a defense value.
* The attack does not gain go again. Potion of Strength requires an action point to use and provides an action point from go again upon resolution.",,WTR171,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Pummel,"* You cannot play Pummel if there is not a legal target.
* You cannot target a weapon, only a weapon attack.",,"WTR206,WTR207,WTR208",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Razor Reflex,"* You cannot play Razor Reflex if there is not a legal target
* You cannot target a weapon, only a weapon attack.
* You cannot target a weapon attack with the second option.
* If this is used on an attack with go again, you will only gain 1 action point upon resolution as multiple instances of go again do not stack.",,"WTR209,WTR210,WTR211",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Regurgitating Slog,"* You must decide if you are banishing a card named Sloggism at the time you play Regurgitating Slog.
* Non-attack action cards go to the graveyard after it resolves, therefore you may banish a Sloggism you played this turn.",,"WTR197,WTR198,WTR199",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Remembrance,"* You may not defend with Remembrance as it does not have a defense value.
* You may shuffle 0, 1, 2 or 3 action cards from your graveyard into your deck.
* You are not required to announce your choices until the card resolves.
* You may only shuffle action cards from your graveyard into your deck. This includes attack actions. This excludes any card that is not an action such as equipment, resource, defense reaction, attack reaction and instant.
* Remembrance is an instant. You may play it anytime you have priority, including during an opponent’s turn, and during the reaction window of either player’s turn.",,WTR163,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Scar for a Scar,"* The green symbol on Scar for a Scar is life.
* Scar for a Scar checks if you have less life than your opponent at the time you play it. Changes after the card has been played does not cause Scar for a Scar to gain nor lose go again.",,"WTR191,WTR192,WTR193",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Sigil of Solace,"* The green symbol on Sigil of Solace is life.
* You may not defend with Sigil of Solace as it does not have a defense value.
* Sigil of Solace is an instant. You may play it anytime you have priority, including during an opponent’s turn, and during the reaction window of either player’s turn.",,"WTR174,WTR174,WTR175",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Sink Below,"* Sink Below can only be played in the reaction window.
* You must resolve Sink Below’s ability before deciding if you are defending with any additional cards in the reaction window.
* You cannot use Sink Below’s ability if you have no other cards in your hand. You only draw a card if you put a card from your hand on the bottom of your deck.
* Sink Below’s effect is optional. You may still play Sink Below if you have no other cards in your hand.",,WTR215-217,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Sloggism,* The attack action does not gain go again. Sloggism requires an action point to use and provides an action point from go again upon resolution,,WTR221-223,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Snatch,* The attack is considered to have hit if it does 1 or more damage to the defending hero.,,WTR167-169,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Tome of Fyendal,"* The green symbol of Tome of Fyendal is life.
* You can exceed your starting life total. There is no maximum life total.
* If you end the turn with more cards in hand than your hero’s intellect, you do not discard to your hero’s intellect (hand size). There is no maximum hand size
",,WTR160,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Unmovable,"* Since defense reactions can’t defend in the defending window and must be played in the reaction window, you must pay Unmovable’s cost to play it.
* You may play Unmovable from your hand, however it will not get it’s bonus.",,WTR212-214,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Wounded Bull,"* The green symbol on Wounded Bull is life.
* Wounded Bull checks if you have less life than your opponent at the time you play it. Changes after the card has been played does not cause Wounded Bull to gain nor lose +1[attack].",,WTR200-202,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Barkbone Strapping,"* If the number rolled is 1, no resources would be gained.
* You may use Barkbone Strapping’s activated ability even when there is no cost to be paidBarkbone Strapping’’s activated ability is an instant. You may activate it any time you have priority, including during an opponent’s turn, and during the reaction window of either player’s turn.",,WTR005,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Scabskin Leathers,"* If the number rolled is 1, no action points would be gained.
* Scabskin Leathers requires an action point to use.",,WTR004,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Alpha Rampage,"* You may only play Alpha Rampage in your deck if your hero is Rhinar, Reckless Rampage or Rhinar (young hero).
* You must have at least one other card in your hand to pay for the additional cost at the time you play Alpha Rampage.
* The player who owns the banished face down card is allowed to look at it.
* The card banished from intimidate is returned to hand at the beginning of the end phase. This is before players draw up to hand size.",,WTR006,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Awakening Bellow,"* This card only affects Brute attack action cards. Brute weapon attack or generic attack actions do not benefit this.
* The player who owns the banished face down card is allowed to look at it.
* The card banished from intimidate is returned to hand at the beginning of the end phase. This is before players draw up to hand size.",,WTR032-034,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Barraging Beatdown,"* This card only affects Brute attacks (Brute attack action cards or Brute weapon attacks). Generic attack actions do not benefit this.
* The player who owns the banished face down card is allowed to look at it.
* The card banished from intimidate is returned to hand at the beginning of the end phase. This is before players draw up to hand size.",,WTR017-019,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Bloodrush Bellow,"* This checks the discarded card’s base power. Effects that modify a card's power are not applied to a card discarded from hand.
* This card only affects Brute attacks (Brute attack action cards or Brute weapon attacks). Generic attack actions do not benefit this.",,WTR007,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Bone Head Barrier,"* You may not defend with Bone Head Barrier as it does not have a defense value.
* You must prevent the incoming damage, you cannot save the prevention for a future attack once Bone Head Barrier resolves.
* Bone Head Barrier is an instant. You may play it anytime you have priority, including during an opponent’s turn, and during the reaction window of either player’s turn.",,WTR010,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Breakneck Battery,* This checks the discarded card’s base power. Effects that modify a card's power are not applied to a card discarded from hand.,,WTR011-013,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Pack Hunt,"* The player who owns the banished face down card is allowed to look at it.
* The card banished from intimidate is returned to hand at the beginning of the end phase. This is before players draw up to hand size.",,WTR023-025,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Primeval Bellow,"* You must have at least one other card in your hand to pay for the additional cost at the time you play Primeval Bellow.
* This card only affects Brute attacks (Brute attack action cards or Brute weapon attacks). Generic attack actions do not benefit this.
* You can only pitch when there is a cost to pay. You cannot pitch a card to play Primeval Bellow because it costs 0. Yes, we did this to make it awkward.",,WTR035-037,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Reckless Swing,"* You must have at least one other card in your hand to pay for the additional cost at the time you play Reckless Swing.
* This checks the discarded card’s base power. Effects that modify a card's power are not applied to a card discarded from hand.
* The damage cannot be blocked but it can be prevented by a prevention effect.
* You can only pitch when there is a cost to pay. You cannot pitch a card to play Reckless Swing.",,WTR008,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Sand Sketched Plan,"* You may only play Sand Sketched Plan in your deck if your hero is Rhinar, Reckless Rampage or Rhinar (young hero).
* This checks the discarded card’s base power. Effects that modify a card's power are not applied to a card discarded from hand.
* You may elect not to put a card into your hand, you still must discard and shuffle your deck after.
* You can only pitch when there is a cost to pay. You cannot pitch a card to cast Sand Sketched Plan.
* Sand Sketched Plan does not have go again. If you don’t discard a card with 6 or more power from its effect, your action phase will end unless you had two or more action points before playing Sand Sketched Plan.",,WTR009,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Savage Feast,"* You must have at least one other card in your hand to pay for the additional cost at the time you play Savage Feast.
* This checks the discarded card’s base power. Effects that modify a card's power are not applied to a card discarded from hand.",,WTR014-016,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Savage Swing,* You must have at least one other card in your hand to pay for the additional cost at the time you play Savage Swing.,,WTR020-022,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Smash Instinct,"* The player who owns the banished face down card is allowed to look at it.
* The card banished from intimidate is returned to hand at the beginning of the end phase. This is before players draw up to hand size.",,WTR026-028,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Wrecker Romp,* You must have at least one other card in your hand to pay for the additional cost at the time you play Wrecker Romp.,,WTR029-031,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Helm of Isen's Peak,"* The blue symbol is intellect. This is your hand size (How much you draw up to at the end of turn.)
* You draw up to your hand size before end of turn effects wear off.
* Helm of Isen’s Peak requires an action point to activate. It does not have go again. Activating Helm of Isen Peak will usually end your action phase.
* When you defend with a card it remains on the combat chain until the chain closes, therefore you cannot defend with an equipment multiple times on the same chain link.",,WTR042,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Blessing of Deliverance,"* The green symbol on Blessing of Deliverance is life.
* Blessing of Deliverance checks the resource cost of a card (top right corner), not the pitch value.
* The cards stay in the same order on top of the deck as they were before they were revealed
",,WTR054-056,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Buckling Blow,"* You may play Buckling Blow even if defending player controls no equipment.
* You target the equipment at the time the hero takes 4 or more damage.
* The counter stays on the equipment permanently.",,WTR057-059,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Cartilage Crush,* This includes all cards with card type action and all action activated abilities,,WTR060-062,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Cranial Crush,"* This does not affect drawing up to your hand size since that is done during the end of turn phase.
* Does not stop effects that put a card into their hand from their deck.
* The player may still play cards that would draw cards. If they do, and would draw 1 or more cards during their action phase, instead they don’t. (The rest of the card effect still applies).",,WTR045,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Cripplng Crush,"* You may only play Crippling Crush in your deck if your hero is Bravo, Showstopper or Bravo (young hero)",,WTR043,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Crush Confidence,"The hero’s intellect, health and hero name is unaffected",,WTR063-065,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Debilitate,"* If the power of an attack would become less than 0, it is considered to be 0. However if the attack then gets a positive power modifier, it will still be under the effect of the -2{p} modifier.
* This affects all attacks including attack action cards and weapon attacks.",,WTR066-068,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Disable,* You may still play Disable even if the other player does not have an arsenal.,,WTR048-050,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Emerging Power,"* Emerging Power must be destroyed at the beginning of your action phase, it is not optional.",,WTR069-071,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Forged for War,"* Forged for War must be destroyed at the beginning of your action phase, it is not optional.
* You may defend with an equipment if it has a defense value (0 is a value).
* The equipment does not need Blade Break or Battleworn to defend.",,WTR046,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Show Time!,"* You may only play Show Time! in your deck if your hero is Bravo, Showstopper or Bravo (young hero).
* Show Time! must be destroyed at the beginning of your action phase, it is not optional.
* You may elect not to put a card into your hand, you still must shuffle your deck after.",,WTR047,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Staunch Response,"* Since defense reactions can’t defend in the defending window and must be played in the reaction window, you must pay Staunch Response’s cost to play it.
* You choose if you want to pay the additional cost at the time you play Staunch Response.
* The additional cost is in addition to Staunch Reponse’s normal resource cost. If you want to play Staunch Response with the bonus, it would cost {r}{r}{r}{r}{r}{r} to play.
* If you pay the additional cost of Staunch Response, it’s still considered to cost 2 (as printed in the top right corner of the card.)",,WTR051-053,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Stonewall Confidence,"* Stonewall Confidence must be destroyed at the beginning of your action phase, it is not optional.
* Stonewall Confidence modifies the defense value of all cards you control with cost 3 or greater. This includes guardian cards and generic cards.",,WTR072-074,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Spinal Crush,"* The effect of Spinal Crush affects actions from any source controlled by that hero. This includes activated actions of equipment, weapons, and hero cards, and playing action cards of any type.
* This does not stop effects that directly gain action points outside of go again.",,WTR044,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Breaking Scales,"* Breaking Scales can only target a card with combo.
* The card must have the keyword combo (displayed on a card as Combo - [text]) This does not include cards that just reference combo or have combo in the text box.",,WTR080,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Mask of Momentum,"* Mask of Momentum does not keep track of hits in a row of the previous combat chain (If the combat chain was closed).
* The attack must be the third to hit in a row.
* The third or higher attack must be an attack action card to trigger Mask of Momentum, however the previous attacks can be any attack ie. weapon attacks.",,WTR079,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Ancestral Empowerment,* Ancestral Empowerment can only target ninja attack action cards. This excludes weapon attacks and generic attack action cards.,,WTR082,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Flic Flak,"* The card must have the keyword combo (displayed on a card as Combo - [text]) This does not include cards that just reference combo or have combo in the text box.
* You cannot block with Flic Flak and a combo card simultaneously as Flic Flak must be used during the reaction window and that is after the defending window. Flic Flak is good when your opponent attacks again after the attack Flic Flak defended.
* The effect from Flic Flak is active until either you defend with another card or the turn ends. Closing the combat chain does not turn off Flic Flak’s effect.",,WTR092-094,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Hurricane Technique,"* If Hurricane Technique hits and returns to your hand (because Rising Knee Thrust was the last attack), and you then immediately play Hurricane Technique again, it will not gain its combo effect (because the last attack on the combat chain was not Rising Knee Thrust - it was Hurricane Technique)",,WTR084,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Mugenshi: RELEASE,"* You may only play Mugenshi: RELEASE in your deck if your hero is Katsu, the Wanderer or Katsu (young hero).
* You may elect not to put any card(s) into your hand, you still must shuffle your deck after.",,WTR083,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Lord of Wind,"* You may only play Lord of Wind in your deck if your hero is Katsu, the Wanderer or Katsu (young hero).
* You choose X at the time you play Lord of Wind.
* X can be 0.
* X cannot be greater than the number of legal targets ie. Surging Strikes, Whelming Gustwaves, and Mugenshi: RELEASE in your graveyard.
* You only shuffle your deck if you put at least one card into your deck.",,WTR081,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Pounding Gale,* Pounding Gale doubles the damage that is dealt to a hero after damage calculation. It does not affect the defense value of the cards blocking Pounding Gale,,WTR085,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Braveforge Bracers,* This only effects the next weapon attack. It will not affect weapon attacks beyond the next weapon attack.,,WTR116,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Refraction Bolters,"* If this is used on an attack with go again, you will only gain 1 action point upon resolution as multiple instances of go again do not stack.
* You decide if you want to destroy Refraction Bolters after the attack has hit and the damage is dealt.",,WTR117,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Biting Blade,"* The first line only affects the current weapon attack. It will not affect weapon attacks beyond the current weapon attack.
* The second line affects the base power of all weapons you control. It gives a +1{p} bonus to all weapons you control, including the current attack and any additional attacks that weapon may make this turn.",,WTR135-137,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Driving Blade,"* This only effects the next weapon attack. It will not affect weapon attacks beyond the next weapon attack.
* The weapon attack has go again regardless if it hits.",,WTR144-146,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Ironsong Determination,"* This affects all weapon attacks from target weapon this turn not just the next attack.
* An attack with Dominate cannot be defended with more than 1 card from hand.",,WTR122,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
