Rule,Description,Keyword,Cards,Source,Date
Ironsong Response,"* Ironsong Response has no card text if reprise is not active and thus cannot be played.
* This only affects the current weapon attack. It will not affect weapon attacks beyond the current weapon attack.",,WTR132-134,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Nature's Path Pilgrimage,"* The attack does not gain go again. Nature’s Path Pilgrimage requires an action point to use and provides an action point from go again upon resolution.
* This only affects the next weapon attack. It will not affect weapon attacks beyond the next weapon attack.
* The ability only triggers if you have no cards in your arsenal at the time the attack hits.
* You must place the card in your arsenal if it is an action. It is not optional.",,WTR147-149,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Overpower,* This only affects the current weapon attack. It will not affect weapon attacks beyond the current weapon attack.,,WTR123-125,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Rout,"* This only affects the current weapon attack. It will not affect weapon attacks beyond the current weapon attack.
* If reprise is active, you can only play Rout if there is a legal target.
* The defense value of a defending card removed from the chain link is not included in damage calculation.
* A defense reaction card that is returned to hand by Rout, can be replayed.",,WTR120,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Sharpen Steel,"* The attack does not gain go again. Sharpen Steel requires an action point to use and provides an action point from go again upon resolution.
* This only affects the next weapon attack. It will not affect weapon attacks beyond the next weapon attack.",,WTR141-143,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Singing Steelblade,"* You may only play Singing Steelblade in your deck if your hero is Dorinthea Ironsong or Dorinthea (young hero).
* This only affects the current weapon attack. It will not affect weapon attacks beyond the current weapon attack.
* A combat chain is made up of one of more chain links. The banished card can only be played on the chain link Singing Steelblade was played.
* You may elect not to banish a card when searching, however you still must shuffle your deck.
* The card played from the banished zone goes to the graveyard upon resolution.",,WTR121,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Steelblade Shunt,* The damage cannot be blocked but it can be prevented by a prevention effect.,,WTR126-128,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Steelblade Supremacy,"* You may only have Steelblade Supremacy in your deck if your hero is Dorinthea Ironsong or Dorinthea (young hero).
* This affects all weapon attacks from target weapon this turn not just the next attack.",,WTR119,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Stroke of Foresight,"* This only affects the current weapon attack. It will not affect weapon attacks beyond the current weapon attack.
* You use the reprise ability at the time the attack reaction resolves. (assuming reprise is active)
* If you have no cards in hand at the time you play this with reprise active, you still draw a card then immediately put the card on the top or bottom of your deck.
* You draw a card then immediately put a card from your hand on the top or bottom of your deck. There is no priority between drawing the card and putting a card on the top or bottom of your deck.",,WTR138-140,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Warrior's Valor,* This only affects the next weapon attack. It will not affect weapon attacks beyond the next weapon attack.,,WTR129-131,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Arcane Barrier,"* You can have multiple instances of arcane barrier, for example Nullrune Hood, Nullrune Cloak, and Nullrune Gloves.
* Arcane barrier can be used every time you would be dealt arcane damage. It's not limited to once per turn.
* Each instance of arcane barrier you control can be used 1 time only, each time a source would deal arcane damage to you. For example if a source would deal 5 arcane damage to you, and you control two cards with arcane barrier 1, you will in total be able to prevent 2 arcane damage this source would deal to you.
* To fully prevent a card dealing 3 arcane damage, you would require 3 arcane barrier and 3 resources to prevent it. To fully prevent the arcane damage from 3 Runechant tokens (3 instances of 1 damage), you would require 1 arcane barrier and 3 resources to prevent it.
* A equipment with arcane barrier does not move to the chain when arcane barrier is used.
* You can prevent arcane damage you would deal to yourself.
* Players cannot respond to the prevention. Arcane barrier is a replacement effect, not an activated or triggered ability.
* You can only pay resources to arcane barrier if a source would deal arcane damage to you.
* Preventing arcane damage does not destroy the equipment with arcane barrier (unless otherwise specified).",arcane barrier,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/arcane-rising/,
Opt x,"* The number of cards you place on top and bottom of your deck is known to your opponent, the order of the cards are not.
* You may put all of the cards on the top or all of the cards on the bottom if you wish.",opt,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/arcane-rising/,
Boost,"* **Boost** is an additional cost. You choose if you want to **boost** or not at the time you play the card.
* You may only **boost**once per instance of **boost**.
* You are considered to have boosted regardless of whether the **boost**was successful or not.",boost,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/arcane-rising/,
Reload,"* You may choose to put no cards from your hand to your arsenal.
* Your arsenal must be empty to put a card into your arsenal.",reload,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/arcane-rising/,
Runechant,"* Each Runechant is its own source of arcane damage, therefore a single instance of arcane barrier 1 can be used to prevent arcane damage from multiple Runechants provided the player the resources to pay for each prevention.
* The Runechant aura token remains in play until destroyed.
* When you attack, you must destroy all Runechant auras you control at the time the attack is announced. It's not optional.
* A Runechant aura token may be represented by a small object such as a card sleeve or coin if a Runechant aura token card is not available.
* If you control multiple Runechant auras, you may use a dice to represent this.",runechant,,,
Azalea,"* If you have no cards in deck and you activate Azalea's hero ability, it will put the card you placed on the bottom, back into the arsenal face up.
* If there is no card in your arsenal when this effect resolves, you do not put the top card into your arsenal.
* You may activate this even when you have no card in arsenal. When it resolves you do not put the top card of your deck into your arsenal.",,"ARC038,ARC039",,
Dash,"* The item must be chosen before you present your deck.
* The card is considered in your deck when counting the minimum sized deck (i.e, once your item is chosen, you can have 59 cards in deck to present in constructed or 29 cards for sealed deck/booster draft).
* The item starts with the appropriate counters as though it had entered the arena.
* You may elect to not start with an item in play.",,"ARC001,ARC002",,
Kano,"* If the card has go again you gain an action point when the card resolves. Note: You cannot gain an action point on an opponent's turn.
* The card is banished face up.
* You do not have to play the card immediately. You may play it anytime during the turn you banished it as long as you have priority.
* The card remains in the banished zone face up if it is not played before end of turn.",,"ARC113,ARC114",,
Viserai,"* Viserai's hero ability is not once per turn. You can create multiple Runechants in a single turn with his ability.
* The non-attack action card does not have to be a Runeblade card.
* The following are counted as Runeblade cards: Runeblade attack action, Runeblade action, Runeblade Instant, Runeblade attack reaction and Runeblade defense reaction.",,"ARC075,ARC076",,
Crucible of Aetherweave,"* You cannot attack with this weapon.
* If the next card you play does not have an effect that deals arcane damage, it will not count and the next card with an effect that deals arcane damage will be affected still.
* You must activate this before playing the card in order for the card to gain the bonus",,ARC115,,
Death Dealer,"* You cannot attack with this weapon.
* You may use this ability even when you have a card in your arsenal, however you cannot put an arrow card from your hand into your arsenal or draw a card.
* An arrow card has the subtype “arrow” and is located at the bottom middle of the card.
* An arrow can be played from arsenal even if it wasn’t a bow that placed it in the arsenal.
* This does not give the arrow **go again**. (The action of Death Dealer has **go again**)",,ARC040,,
Nebula Blade,"* Nebula Blade can only get the power bonus once per turn even if you played multiple ‘non-attack’ action cards.
* If you play a ‘non-attack’ action card after you’ve attacked with Nebula Blade but before it does damage, it will still get the power bonus.",,ARC077,,
Teklo Plasma Pistol,"* You may use the second ability even if it already has one or more steam counters on it, however it will not put a steam counter on it.
* You can attack with this weapon more than once per turn provided you have the action points.
",,ARC003,,
Arcanite Skullcap,"* You may have multiple instances of arcane barrier.
* You must pay [3 resource] to prevent arcane damage even if only one point of arcane damage would be prevented.
* The prevention does not carry over even if you only prevent one arcane damage.
* Arcanite Skullcap always has battleworn, even if you are on higher or lower [life] than your opponent.
* Arcanite Skullcap gains the bonus if there is at least one opponent on less [life]. If there are multiple opponents on less {h}, arcanite skullcap still only gains the bonus once.
* If your [life] becomes higher or lower after defending but before damage calculation, the value of [defense] will change accordingly.",,ARC150,,
Bracers of Belief,"* If there are no cards left in deck, the attack will not gain any power, this is because of the “If you do” clause.
* When this card is destroyed, it is sent to your graveyard.",,ARC153,,
Mage Master Boots,"* If this is used on a ‘non-attack’ action card with go again, you will only gain 1 action point upon resolution as multiple instances of **go again** do not stack.
* This is an action. It must be activated before you play the ‘non-attack’ action card.
* When this card is destroyed, it is sent to your graveyard.",,ARC154,,
Talismanic Lens,"* Talismanic Len’s activated ability is an **instant**. You may activate it any time you have priority, including during an opponent’s turn, and during the reaction window of either player’s turn.
* When this card is destroyed, it is sent to your graveyard.",,ARC151,,
Vest of the First Fist,"* You choose if you want to destroy Vest of the First Fist after the attack action hits (during chain link resolution).
* When this card is destroyed, it is sent to your graveyard.",,ARC152,,
Art of War,"* You must choose the modes as you play Art of War.
* You cannot choose the same mode more than once.
* You must choose two modes.
* Defending with an attack action card from arsenal still follows normal timing restrictions. You must defend with the card during the defending window.
* Cards without an attack or defense value cannot gain attack or defense.",,ARC160,,
Back Alley Breakline,"* The following are zones in this game: Hero, Weapon, Equipment, Chain, Pitch, Arsenal, Deck, Graveyard, Banished and Arena.
* It must be placed face up into a zone from your deck. Revealing it face up on top of your deck does not count as it is not put into a different zone from your deck.",,ARC176-178,,
Chains of Eminence,"* You name the card when the ability resolves. Players can respond to Chains of Eminence being played, but not after the card has been named.
* You may still put the named card in your arsenal or reveal it to pay additional costs.
* Auras stay in the arena until they are destroyed.",,ARC162,,
Command and Conquer,"* The destroyed card is put into its owner’s graveyard.
* Chain link is different from combat chain. If another attack is played after Command and Conquer in the same combat chain, defense reactions can be played on that attack.",,ARC159,,
Eirina's Prayer,"* If you have multiple damage preventions available, you choose which prevention to apply first.
* If you are about to take arcane damage you may use arcane barrier to prevent before the prevention from Eirina's Prayer.
* If there is no cards in deck, Eirina’s Prayer will not get any minus as there is no pitch value to reveal, It will still prevent the next X arcane damage.
* The pitch value of a card is located in the top left corner.
",,ARC173-175,,
Enchanting Melody,"* If you have multiple damage preventions available, you choose which prevention to apply first.
* If you are about to take arcane damage you may use arcane barrier to prevent first before this prevention.
* Loss of life does not count as being dealt damage.
* Enchanting Melody is a ‘non-attack’ action therefore it will prevent itself from being destroyed the turn you play it.",,ARC167-169,,
Eye of Ophidia,"* You may not defend with this card. (It does not have a defense value)
* You must have a cost to pay to pitch this card. You cannot pitch this card without a cost to pay.
* The opt will resolve before the card or effect you pay for resolves.
* You may only have 1 Eye of Ophidia in your deck including cards in your registered 80-card pool in constructed tournaments and only 1 Eye of Ophidia in your deck in limited tournaments.",,ARC000,,
Fate foreseen,"* Fate Foreseen can only be played in the reaction step of a combat chain.
* Once Fate Foreseen resolves, you get to opt before deciding whether to play additional cards in the reaction step.",,ARC200-202,,
Lead the charge,"* If the action has **go again** you will end up with 2 action points once that card resolves.
* An action point allows you to play action cards and action activated abilities as they require an action point to play. (Not to be confused with resource points which are used to pay costs)
* Lead the Charge looks at the base cost of the action card. Modifiers do not affect this.",,ARC209-211,,
Life for a life,"* The green symbol on Life for a Life is your hero's life.
* Life for a Life checks if you have less life than your opponent at the time you play it.
* Changes to a hero's life after the card has been played does not cause Life for a Life to gain nor lose go again.",,ARC164-166,,
Moon Wish,"* You may only use Moon Wish’s alternative cost if you have a card in hand to put on top of your deck.
* If Moon Wish hits, you search your deck and may put a Sun Kiss into your hand. You still require an action point to play Sun Kiss.
* Searching your deck for Sun Kiss is not an optional effect, so even if you fail to find, or know that you have no Sun Kiss in your deck, you must still shuffle your deck.
* If there is an effect that increases the cost of Moon Wish, you must still pay it even if you use Moon Wish’s alternative cost.",,ARC185-189,,
Plunder Run,"* The first effect of Plunder Run checks on the next attack action card to hit, not the next attack action played.",,ARC170-172,,
Pursuit of knowledge,"* The blue symbol on Pursuit of Knowledge is your hero's intellect.
* You draw cards up to your intellect before end of turn effects end. In this case you will draw an additional card during the end phase from the intellect buff if Pursuit of Knowledge hit.",,ARC161,,
Ravenous Rabble,"* If there are no cards in deck, you can still play Ravenous Rabble and its [attack] will be 5.",,ARC191-193,,
Rifting,"* The ‘non-attack’ action card does not need to be played straight away
* You may elect to still play it as normal, however if you do, you cannot play another ‘non-attack’ action card as an instant as this only applies to the next ‘non-attack’ action card.",,ARC194-196,,
Rusted Relic,"* Rusted Relic requires an action point to play as it is an action card.
* Items stay in the arena until they are destroyed.
* You can have multiple instances of arcane barrier.
* You may not defend with Rusted Relic (from your hand) as it does not have a defense value.",,ARC163,,
Sun Kiss,"* The green symbol on Sun Kiss is your hero's life.
* Sun Kiss requires an action point to play as it is an action.",,ARC212-214,,
Vigor Rush,"* If you play a ‘non-attack’ action card after you’ve attacked with Vigor Rush but before chain link resolution, it will gain go again.",,ARC197-199,,
Teklo Foundry Heart,"* You may only activate this once, even if you have boosted multiple times in a turn.
* Since this is an action, the combat chain must be empty when this is activated. You may close the combat chain after your boost attack but before activating this)
* You may use this even if you have less than 2 cards in your deck.
",,ARC004,,
Achilles Accelerator,"* An action point allows you to play action cards and action activated abilities as they require an action point to play. (Not to be confused with resource points which are used to pay costs)
* The boost does not need to be successful. You can use Achilles Accelerator after banishing a non-Mechanologist card from a boost cost.
* When this card is destroyed, it is sent to your graveyard.",,ARC005,,
Aether Sink,"* Aether Sink requires an action point to play as it is an action.
* You can have multiple instances of arcane barrier.
* You may not defend with Aether Sink (from hand) as it does not have a defense value.
* You must pay [2 resource] to prevent arcane damage even if only one point of arcane damage would be prevented.
* The prevention does not carry over even if you only prevent one arcane damage.
* You may use the action even if it already has one or more steam counters on it, however it will not put a steam counter on it.
* If you activate Aether Sink's second ability multiple times in the same turn, it will gain multiple instances of arcane barrier 2.",,ARC017,,
Cognition Nodes,"* Cognition Nodes requires an action point to play as it is an action.
* You may not defend with Cognition Nodes (from your hand) as it does not have a defense value.
* You may use the action ability even if it already has one or more steam counters on it, however it will not put a steam counter on it.
* The attack still counts as an attack and a chain link on the combat chain even when it is put on the bottom of your deck.",,ARC018,,
Convection Amplifier,"* Convection Amplifier requires an action point to play as it is an action.
* You may not defend with Convection Amplifier (from your hand) as it does not have a defense value.
* You can use the Action more than once per turn as long as it has a steam counter on it as the action is not limited to once per turn.
* Using this action requires an empty combat chain. You can close the combat chain after a chain link has resolved.",,ARC019,,
Dissipation Shield,"* Dissipation Shield requires an action point to play as it is an action.
* You may not defend with Dissipation Shield (from your hand) as it does not have a defense value.
* If you have multiple damage preventions available, you choose which prevention to apply first.
* This can prevent any type of damage, including arcane damage.
* This cannot prevent loss of life.
* You may activate the instant ability anytime you have priority including when the trigger is on the stack.",,ARC035,,
High Octane,"* An action point allows you to play action cards and action activated abilities as they require an action point to play. (Not to be confused with resource points which are used to pay costs)
* The boost does not need to be successful. You will still gain an action point if you banish a non-Mechanologist card from a boost cost.
* You draw a card when this card resolves, not whenever you boost a card this turn.",,ARC006,,
Hyper Driver,"* Hyper Driver requires an action point to play as it is an action.
* You may not defend with Hyper Driver (from your hand) as it does not have a defense value.
* The effect is not optional, you must remove a steam counter and gain {r} when you boost, including when your boost is unsuccessful.",,ARC036,,
Induction Chamber,"* Induction Chamber requires an action point to play as it is an action.
* You may not defend with Induction Chamber (from hand) as it does not have a defense value.
* You may use the action even if it already has one or more steam counters on it, however it will not put a steam counter on it.",,ARC010,,
Locked and loaded,* The boost does not need to be successful. You will still opt 1 if you banish a non-Mechanologist card from a boost cost.,,ARC032-034,,
Maximum Velocity,"* You cannot play this card if you have not boosted 3 or more times this turn.
* You may still pitch or defend with this card even if you have not boosted 3 or more times this turn.",,ARC008,,
Optekal Monocole,"* Optekal Monocle requires an action point to play as it is an action.
* You may not defend with Optekal Monocle (from hand) as it does not have a defense value.
* You can use the action ability more than once per turn as long as it has a steam counter on it. It is not once per turn.
* Using this action requires an empty combat chain. You can close the combat chain after a chain link has fully resolved.",,ARC037,,
Overloop,"* Over Loop still counts as an attack and a chain on the combat chain when it is put onto the bottom of your deck.
* Over Loop still resolves and gives you an action point if it had go again when it's put on the bottom of your deck.
* **Errata**: There is a printing mistake in the italic reminder text of this card related to the effect of **dominate**. It should reference the next attack not Pedal to the Metal itself.",,ARC020-022,,
Pour the Mould,"* You may elect not to put a Mechanologist item into play when this card resolves.
* The cost of a card is located on the top right corner.
* The boost does not need to be successful. The item will still come into play with an additional steam counter on it if a non-Mechanologist card is boosted.
* If you have boosted, the item comes into play with an additional steam counter on it, this cannot be responded to.
* The item is considered to have entered the arena.",,ARC014-016,,
Spark of Genius,"* You may only play Spark of Genius in your deck if your hero is Dash, Inventor Extraordinaire, or Dash (young hero).
* X can be 0.
* The value of X must be the same.
* You must pay double the cost of X. For example if you want to search for a card that cost 2, you must pay 4 for Spark of Genius.
* The cost of a card is located on the top right corner.
* The boost does not need to be successful. You will still draw a card if boost was unsuccessful.
* The item is considered to have entered the arena.",,ARC009,,
Teklo Core,"* You may only play Teklo Core in your deck if your hero is Dash, Inventor Extraordinaire, or Dash (young hero).
* Teklo Core requires an action point to play as it is an action.
* You may not defend with Teklo Core (from hand) as it does not have a defense value.
* The effect is not optional. You must remove a steam counter and gain {r}{r} at the beginning of your action phase.",,ARC007,,
Skullbone Crosswrap,"* Turning a face down card face up is part of the cost. You cannot use Skullbone Crosswrap if you do not have a card in arsenal or the card is not face down.
* A face down card is a card with the back part of the card facing up. When you put a card into your arsenal at the end of turn or with reload, the card is face down.
* You may have multiple instances of arcane barrier.",,ARC041,,
Bull's Eye Bracers,"* You may activate Bull’s Eye Bracers if you have a card in your arsenal, however it will not put an arrow into your arsenal or give anything +{p}.
* When this card is destroyed, it is sent to your graveyard.",,ARC042,,
Endless Arrow,"* Endless Arrow is still considered an attack that hit and a chain link on the combat chain when it's returned to your hand.
* Endless Arrow will still require an action point (and to be played from arsenal) if you are attempting to replay the Endless Arrow returned to your hand.",,ARC045,,
hamstring Shot,"* This affects both attack action cards and weapon attacks.
* This does not change the base cost of the attack.
* If an attack has a cost reduction clause, the additional {r} from Hamstring Shot can be reduced. Effects that increase cost are applied first, then effects that reduce costs.",,ARC060-062,,
head Shot,"* It only gains the +2{p} until end of turn. If you do not attack with Head Shot on the same turn, it won’t have the bonus the following turn.
* Head Shot must be placed into your arsenal face up, turning a face down Head Shot in arsenal face up will not grant the bonus.",,ARC058-059,,
Nock the Deathwhistle,"* You may only play Nock the Deathwhistle in your deck if your hero is Azalea, Ace in the Hole or Azalea (young hero).
* You may elect not to put a card on the top of your deck, you still must shuffle your deck after.",,ARC046,,
Rapid Fire,"* Arrows are still required to be played from arsenal, this card does not bypass that restriction.",,ARC047,,
Red in the Ledger,"* You may only play Red in the Ledger in your deck if your hero is Azalea, Ace in the Hole or Azalea (young hero).
* The affected player can still play and activate instant and reaction cards as they are not actions.
* Multiple action points do not get around this ability. The affected player may only play or activate 1 action even if they have additional action points.
* Actions played as though they were an instant still count as action cards. Playing an action as though it was an instant does not get around Red in the Ledgers ability.",,ARC043,,
Ridge Rider Shot,"* Ridge Rider Shot must be placed into your arsenal face up, turning a face down Ridge Rider Shot in arsenal face up will not grant the bonus.",,ARC063-065,,
Salvage Shot,"* Salvage Shot is still considered an attack that hit and a chain link on the combat chain even when it is put on the bottom of your deck.
* Putting Salvage Shot on the bottom of your deck is not optional.",,ARC066-068,,
Searing Shot,"* The green symbol on Searing Shot is a hero's life.
* The loss of life cannot be defended or prevented.",,ARC069-071,,
Silver theTip,"* If you have a card in arsenal, Silver the Tip can still be played, however it will not do anything beyond replenishing your action point from **go again**.
* You do not look at the top 2/3/4 cards if you have a card in arsenal.
* You do not have to put an arrow card into your arsenal.",,ARC051-053,,
Take Cover,"* You may still play Take Cover with an arsenal in play.
* If you play Take Cover from your arsenal, you may **reload** when Take Cover resolves.
* Take Cover’s **reload** happens before damage calculation so you may play the card you reloaded from arsenal before damage calculation. For example you may **reload** another defense reaction and play that to the same chain link you played Take Cover.",,ARC048-050,,
Three of a Kind,"* You still need to pay the cost and action points to play cards out of your arsenal.
* You cannot play any cards except cards from arsenal, this includes cards from hand, banished zone or deck.
* The restriction applies to all card types. You cannot play instants or attack reactions unless they are played from your arsenal.
* You may still activate cards, such as weapons, equipment, hero abilities, and items.",,ARC044,,
Grasp of the Arknight,"* The cost checks how many runechant tokens you have at the time you activate it, it does not include the runechant token you are about to make.
* You cannot use this ability if you cannot pay the required costs. (You cannot sink resources into this if you cannot pay the full cost)",,ARC078,,
Crown of Dichotomy,"* This requires an action point to activate. It does not have **go again**.
* You must have two legal targets in order to use this.
* If one of the targets becomes illegal before resolution, it will still put the other target on top of the deck.",,ARC079,,
Arcknight Ascendancy,"* You may only play Arknight Ascendancy in your deck if your hero is Viserai, Rune Blood or Viserai (young hero).",,ARC080,,
Become the Arknight,"* You choose the mode at the time you play the card.
* Discarding the card happens on resolution of the of the card. If you cannot or choose not to discard a card, the effect will not resolve.
* You may elect not to put a card into your hand. If you do, you still shuffle your deck.
* You may not discard a non-action card, such as an instant.
* You cannot discard more than one card.",,ARC083,,
Bloodspill Invocation,"* Damage from attacks and arcane damage both count as being dealt damage.
* If Bloodspill Invocation triggers but is destroyed before the resolution, it will still create the tokens. This is because the clause is not tied into being destroyed. (Not an “If you do”.)",,ARC106-108,,
Mordred Tide,"* An additional one Runechant is created for the entire effect creating Runechants. For example if you were to make three Runechant tokens from a single effect, it would instead create four.
* Multiple Mordred Tide effects will result in that many additional Runechants being created.
* If playing Mordred Tide would trigger Viserai’s ability, it would not create an additional Runechant as Mordred Tide would not have resolved by the time Viserai’s ability has.",,ARC081,,
Oath of the Arknight,* This affects all types of Runeblade attacks including Runeblade Weapon attacks.,,ARC091-093,,
Read the Runes,* Read the Runes is an action and requires an action point to play. It does not have go again,,ARC109-111,,
Reduce to Runechant,"* Since defense reactions can’t defend in the defending window and must be played in the reaction window, you must pay Reduce to Runechant’s cost to play it.
* The Runechant Reduce to Runechant creates is not counted when calculating the reduction.
* Effects that increase cost are applied first, then effects that reduce costs. If a card increases the cost of Reduce to Runechant, if you control enough Runechants the cost of Reduce to Runechant can still be 0.",,ARC088-090,,
Spellblade Assault,"* The Runechant tokens created do not trigger or get destroyed by Spellblade Assault, as it is already played at the point the Runechant tokens are created.",,ARC085-087,,
Spellblade Strike,"* The Runechant token created does not trigger or get destroyed by Spellblade Strike, as it's already played at the point the Runechant token is created.",,ARC103-105,,
Tome of the Arknight,"* If the revealed cards do not meet the criteria, they are returned to the top of the deck in the same order.
* Instants, attack reactions, defense reactions and resources are not ‘non-attack’ action cards.",,ARC084,,
Storm Striders,"* You may have multiple instances of arcane barrier.
* You must pay [2 resource] to prevent arcane damage even if only one point of arcane damage would be prevented.
* The prevention does not carry over even if you only prevent one arcane damage.
* When this card is destroyed, it is sent to your graveyard.",,ARC116,,
Robe of Rapture,* This requires an action to activate. This does not have go again.,,ARC117,,
Absorb in Aether,"* Since defense reactions can’t defend in the defending window and must be played in the reaction window, you must pay Absorb in Aether’s cost to play it.
* The card must be played during your opponent’s turn after Absorb in Aether resolves to gain the buff.
* You cannot play this card during your own turn or without an attack to defend during the reaction window.",,ARC123-125,,
Aether Flare,"* Aether Flare does not have **go again**. The next card you play that benefits from this effect would require an action point or be played as an instant.
* If the next card you play does not have an effect that deals arcane damage, it will not gain this modifier however the next card played this turn that has an effect that deals arcane damage will still gain the bonus.",,ARC132-134,,
Aether Spindle,* You do not Opt if Aether Spindle does not deal arcane damage.,,ARC126-128,,
Blazing Aether,"* You may only play Blazing Aether in your deck if your hero is Kano, Dracai of Aether or Kano (young hero)",,ARC118,,
Forked Lightning,"* Modifiers will affect both damage effects. For example if the next arcane damage would deal plus one, Forked Lightning would deal 3 arcane damage twice thus dealing 6 arcane damage total.
* Arcane barrier 1 can only stop one arcane damage from Forked Lightning, as it's considered a single source of damage",,ARC120,,
Index,"* You must select one card to put on the top of your deck. (Provided there is at least one card to look at.)
* You can play this if there is less than the number of cards in your deck. You would look at as many as you can. For example if you only have 2 cards in deck, you would look at both of them and select one to put on the top of your deck.
* This is an action and requires an action point to play. Index does not have **go again**.",,ARC135-137,,
Lesson in Lava,"* You may only play Lesson in Lava in your deck if your hero is Kano, Dracai of Aether or Kano (young hero).
* You must deal damage with Lesson in Lava to search your deck. You cannot search for a 0 cost if Lesson in Lava did not deal damage.
* You may elect not to put a card on top of your deck, you still must shuffle your deck after.
* The resource cost is located in the top right corner of a card.",,ARC121,,
Reverberate,"* If you do not play the banished card, it stays in the banished zone.
* The resource cost is located in the top right corner of a card.",,ARC138-140,,
Sonic Boom,"* If you do not play the banished card, it stays in the banished zone.
* If the card is reduced by more than the card's resource cost, it will cost 0 to play. The cost cannot be negative.",,ARC119,,
Stir the Aetherwinds,"* This affects the next wizard non-attack action then checks if it has an effect that deals arcane damage. Even if the next wizard non-attack action can’t do arcane damage, the damage modifier effect will not carry over",,ARC129-131,,
Tome of Aetherwind,"* You may choose the same mode more than once
* If you choose the first mode twice, the next card you play with an effect that deals arcane damage, instead deals that much arcane damage plus 2.
* Tome of Aetherwind is an action and requires an action point. It does not have **go again**.",,ARC122,,